,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_ear,right_ear,mouth_left,mouth_right,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_pinky,right_pinky,left_index,right_index,left_thumb,right_thumb,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_heel,right_heel,left_foot_index,right_foot_index,exercise
0,"[406.95024490356445, 476.1271667480469, -353.4645462036133]","[412.4656391143799, 466.5672302246094, -304.1707420349121]","[415.56511402130127, 467.1910858154297, -304.20013427734375]","[418.66055488586426, 468.02127838134766, -304.16595458984375]","[401.91309928894043, 464.4984817504883, -313.3836555480957]","[397.73026943206787, 463.7183380126953, -313.4828567504883]","[394.08143520355225, 463.1809997558594, -313.40015411376953]","[417.76843070983887, 474.0177917480469, -52.196388244628906]","[387.21622467041016, 467.24403381347656, -89.21231269836426]","[410.09971618652344, 489.85862731933594, -261.5347480773926]","[396.3120460510254, 486.7228698730469, -272.500057220459]","[440.07548332214355, 549.1971588134766, 76.70773506164551]","[337.3084044456482, 523.376350402832, -33.08565855026245]","[474.6097183227539, 608.181266784668, -189.3422508239746]","[286.87740325927734, 566.8434524536133, -337.3211669921875]","[507.75607109069824, 576.795539855957, -725.8615875244141]","[296.52846336364746, 531.9301605224609, -828.5812377929688]","[527.6424407958984, 564.9406814575195, -824.9057769775391]","[299.06023263931274, 518.509635925293, -937.8032684326172]","[521.5743827819824, 556.7461013793945, -839.9405670166016]","[307.85648345947266, 513.7763595581055, -941.7180633544922]","[513.766622543335, 560.8349609375, -748.4391784667969]","[308.85825634002686, 519.4353103637695, -843.4967041015625]","[391.6587781906128, 713.2905578613281, 21.346473693847656]","[328.5921907424927, 702.0350646972656, -21.058905124664307]","[382.73333072662354, 834.251708984375, 52.66132354736328]","[303.19321632385254, 819.4713592529297, -42.346506118774414]","[367.1902084350586, 940.257568359375, 480.5328369140625]","[289.0164113044739, 930.2249908447266, 297.4656105041504]","[354.4208765029907, 952.1321868896484, 506.9757843017578]","[291.98716163635254, 942.6250457763672, 312.6743507385254]","[375.9717607498169, 974.3179321289062, 254.73125457763672]","[270.1254630088806, 962.9816436767578, 30.950703620910645]",squat
1,"[406.14892959594727, 478.5091781616211, -374.6677017211914]","[411.8497610092163, 468.17344665527344, -327.52098083496094]","[414.77203845977783, 468.8079833984375, -327.5490188598633]","[417.8734874725342, 469.6431350708008, -327.5209045410156]","[401.60024642944336, 466.1649703979492, -333.96610260009766]","[397.3954439163208, 465.36563873291016, -334.0827941894531]","[393.55889797210693, 464.76524353027344, -334.0107727050781]","[417.4755334854126, 475.48362731933594, -77.91152477264404]","[385.7159900665283, 468.62247467041016, -103.51561546325684]","[409.4909620285034, 490.68531036376953, -283.436279296875]","[395.74341773986816, 488.0031967163086, -291.0243034362793]","[440.1679229736328, 549.6059036254883, 60.38741111755371]","[337.4829411506653, 524.8051071166992, -33.76739501953125]","[474.77356910705566, 605.948371887207, -177.91786193847656]","[286.1528420448303, 566.3198089599609, -306.9713020324707]","[512.2804641723633, 576.5859985351562, -685.8709716796875]","[294.84719038009644, 531.2682342529297, -792.1563720703125]","[530.9969615936279, 564.6315383911133, -778.8672637939453]","[297.3256802558899, 517.8751754760742, -900.1140594482422]","[524.661455154419, 556.600456237793, -805.8312225341797]","[307.3506188392639, 513.5855102539062, -905.4167175292969]","[516.8577289581299, 560.8119583129883, -712.1387481689453]","[308.12509059906006, 519.2807769775391, -807.5511932373047]","[390.81759452819824, 713.6024475097656, 17.35044240951538]","[328.6359214782715, 702.5469970703125, -17.092028856277466]","[382.5535583496094, 834.7541809082031, 24.29490566253662]","[303.04455757141113, 821.7839813232422, 2.7522310614585876]","[366.89417839050293, 940.0978088378906, 432.5056838989258]","[290.13946294784546, 930.8138275146484, 364.52735900878906]","[354.42684173583984, 950.9646606445312, 456.8036651611328]","[294.11850929260254, 943.4684753417969, 381.2803649902344]","[374.48967933654785, 974.0351867675781, 193.35264205932617]","[270.1350975036621, 963.6219787597656, 101.79594993591309]",squat
2,"[405.689435005188, 481.1730194091797, -413.71639251708984]","[411.52201652526855, 470.3409957885742, -368.3704376220703]","[414.3718099594116, 470.9424591064453, -368.4263610839844]","[417.473087310791, 471.7101287841797, -368.41800689697266]","[401.40897274017334, 468.41129302978516, -370.9495544433594]","[397.13675022125244, 467.58846282958984, -371.07723236083984]","[393.1154537200928, 466.9199752807617, -371.00341796875]","[417.3413372039795, 477.2853469848633, -120.19288063049316]","[384.80966091156006, 470.4065704345703, -129.20065879821777]","[409.13540840148926, 491.9935989379883, -322.8579330444336]","[395.2312231063843, 489.7909164428711, -325.6143569946289]","[440.4394054412842, 550.5739212036133, 17.33208179473877]","[337.4181818962097, 526.3211059570312, -42.20389366149902]","[474.7729682922363, 605.9690475463867, -226.37041091918945]","[285.717294216156, 566.2897491455078, -312.7881622314453]","[513.1217765808105, 577.1016693115234, -748.2859039306641]","[293.8198184967041, 531.3837814331055, -808.2265472412109]","[531.6742086410522, 564.7626495361328, -847.1791839599609]","[296.4182138442993, 517.8926467895508, -918.3653259277344]","[525.1215076446533, 556.6390228271484, -873.4353637695312]","[307.00019359588623, 513.6027908325195, -925.9714508056641]","[517.3084688186646, 561.0184478759766, -774.359130859375]","[307.66791343688965, 519.404411315918, -824.9890899658203]","[389.63454723358154, 714.4651794433594, 7.068544030189514]","[328.38913679122925, 704.2575073242188, -6.8165260553359985]","[382.11719512939453, 834.8039245605469, -2.1962757408618927]","[302.3121643066406, 824.3289947509766, 28.041374683380127]","[366.8932342529297, 939.4502258300781, 433.8024139404297]","[290.7682800292969, 932.0621490478516, 416.8342971801758]","[355.10305881500244, 949.8847961425781, 460.5891799926758]","[295.36871910095215, 944.8612976074219, 436.0417938232422]","[373.1755256652832, 972.8416442871094, 193.65842819213867]","[270.2605605125427, 963.9447784423828, 152.1828842163086]",squat
3,"[405.6350612640381, 483.1671905517578, -416.8641662597656]","[411.42356872558594, 472.17166900634766, -369.6157455444336]","[414.2454671859741, 472.7788543701172, -369.6592330932617]","[417.35640048980713, 473.5613250732422, -369.6377944946289]","[401.4006042480469, 470.26439666748047, -377.3698043823242]","[397.1126317977905, 469.4032287597656, -377.50728607177734]","[392.966365814209, 468.6653518676758, -377.44911193847656]","[417.2743892669678, 479.000244140625, -115.40597915649414]","[383.9693784713745, 472.26375579833984, -147.67236709594727]","[409.0597915649414, 493.447265625, -323.33621978759766]","[395.18667697906494, 491.4380645751953, -332.8201675415039]","[440.46918869018555, 552.3370361328125, 31.6225004196167]","[337.4154996871948, 527.6920700073242, -74.66917037963867]","[474.77713108062744, 606.6451263427734, -202.06926345825195]","[285.52818775177, 566.6072845458984, -344.173583984375]","[513.998064994812, 578.0537796020508, -702.8372192382812]","[293.57635974884033, 531.3888549804688, -831.1572265625]","[532.4744939804077, 565.223503112793, -794.8079681396484]","[296.29626989364624, 517.8903198242188, -941.2326049804688]","[526.2318134307861, 556.8020629882812, -824.8406219482422]","[307.00167417526245, 513.5995483398438, -944.6147155761719]","[518.510570526123, 561.2778854370117, -730.1905822753906]","[307.6477646827698, 519.4188690185547, -845.1695251464844]","[388.93189430236816, 718.0119323730469, 10.903608798980713]","[328.3494186401367, 707.3310852050781, -10.66288709640503]","[382.26430892944336, 835.3441619873047, 9.649695754051208]","[301.72903060913086, 826.5294647216797, 8.63990843296051]","[366.83233737945557, 939.4491577148438, 442.68566131591797]","[290.81151723861694, 933.2814025878906, 410.6602478027344]","[355.105504989624, 949.8591613769531, 469.5159912109375]","[295.54428577423096, 946.1898040771484, 431.22798919677734]","[372.9148578643799, 972.6212310791016, 208.0023193359375]","[271.0229516029358, 965.2637481689453, 113.0014705657959]",squat
4,"[405.6147623062134, 486.95011138916016, -414.6268844604492]","[411.36953830718994, 476.04808807373047, -365.5243682861328]","[414.14650440216064, 476.5491485595703, -365.5500793457031]","[417.2173547744751, 477.32723236083984, -365.5228805541992]","[401.4574670791626, 474.30992126464844, -377.5397491455078]","[397.1872615814209, 473.4543228149414, -377.6826477050781]","[392.97370433807373, 472.5404739379883, -377.62306213378906]","[416.9319248199463, 482.3750686645508, -106.63252830505371]","[383.72132778167725, 475.3517150878906, -158.85723114013672]","[408.8440990447998, 496.7695999145508, -319.16229248046875]","[395.15989780426025, 494.65160369873047, -334.4458770751953]","[438.66442680358887, 555.438232421875, 33.20947885513306]","[336.6880416870117, 529.4366455078125, -91.47756576538086]","[474.7925806045532, 609.3953704833984, -149.49347496032715]","[284.01885509490967, 566.8686676025391, -360.91407775878906]","[514.0193939208984, 579.4742584228516, -635.0202178955078]","[293.5799217224121, 531.350212097168, -830.5484771728516]","[532.3491382598877, 566.4629364013672, -722.7056121826172]","[296.28639936447144, 517.8928375244141, -938.7389373779297]","[526.0901498794556, 558.1922149658203, -752.1582794189453]","[307.00615882873535, 513.6977386474609, -937.9733276367188]","[518.4257698059082, 562.3519897460938, -662.2164916992188]","[307.6511764526367, 519.511604309082, -842.5062561035156]","[387.65318870544434, 720.9162902832031, 20.143890380859375]","[328.0034565925598, 709.7376251220703, -19.937134981155396]","[382.2466278076172, 837.188720703125, -14.445217847824097]","[301.2398600578308, 827.3905181884766, 4.95758593082428]","[366.4286756515503, 940.1377868652344, 395.0738525390625]","[290.8107662200928, 934.3381500244141, 378.74229431152344]","[354.68044996261597, 950.3489685058594, 420.40645599365234]","[295.62633991241455, 947.3905944824219, 396.5258026123047]","[372.3667001724243, 972.8950500488281, 157.55574226379395]","[271.5381717681885, 965.9569549560547, 103.73176574707031]",squat
5,"[406.1144685745239, 491.2252426147461, -427.8636169433594]","[411.49815559387207, 480.58597564697266, -379.25559997558594]","[414.23495292663574, 481.1764144897461, -379.2872619628906]","[417.2338342666626, 481.94679260253906, -379.2407989501953]","[402.1446704864502, 478.6724090576172, -391.1053466796875]","[398.06689739227295, 477.77217864990234, -391.23172760009766]","[393.66352558135986, 476.85691833496094, -391.1615753173828]","[416.6216468811035, 486.0108947753906, -120.09798049926758]","[383.7271213531494, 479.30084228515625, -170.96359252929688]","[408.9488124847412, 501.40804290771484, -332.1963882446289]","[395.66672801971436, 499.2108154296875, -347.1063995361328]","[438.2612371444702, 557.6665115356445, 35.843682289123535]","[336.23873949050903, 532.7138137817383, -105.42032241821289]","[474.71426010131836, 612.164421081543, -159.94192123413086]","[281.9945168495178, 570.9108352661133, -378.3500671386719]","[513.8120698928833, 581.5117263793945, -662.2598266601562]","[293.6082458496094, 532.4904632568359, -842.4343109130859]","[532.3201704025269, 568.8800048828125, -753.2351684570312]","[296.2829875946045, 519.1233444213867, -949.0229797363281]","[525.828366279602, 560.4084014892578, -779.1972351074219]","[307.06533908843994, 515.6046295166016, -947.44140625]","[518.3527278900146, 564.0499877929688, -688.2163238525391]","[307.77766942977905, 521.4981079101562, -853.2955932617188]","[386.8659496307373, 722.4102783203125, 23.82343292236328]","[327.6109528541565, 710.6394195556641, -23.578362464904785]","[382.2466278076172, 837.8793334960938, -26.388225555419922]","[300.43487548828125, 827.6491546630859, -14.983712434768677]","[365.75185775756836, 940.5014801025391, 391.6927719116211]","[290.2263879776001, 935.3257751464844, 356.2004852294922]","[353.5002136230469, 950.7746887207031, 418.0328369140625]","[295.0107192993164, 948.4575653076172, 373.9354705810547]","[371.85566425323486, 973.2426452636719, 157.01455116271973]","[272.20404624938965, 966.3920593261719, 75.45188426971436]",squat
6,"[406.11412525177, 494.6038055419922, -463.61236572265625]","[411.48927211761475, 484.1436767578125, -415.5987548828125]","[414.2310905456543, 484.75879669189453, -415.65189361572266]","[417.21593856811523, 485.51353454589844, -415.6283950805664]","[402.15681552886963, 482.19532012939453, -424.6135711669922]","[398.07518005371094, 481.28509521484375, -424.7393035888672]","[393.6614227294922, 480.44700622558594, -424.67445373535156]","[416.5361166000366, 489.8571014404297, -158.36920738220215]","[383.53344440460205, 483.19149017333984, -196.8670654296875]","[408.93336296081543, 505.23265838623047, -369.2869186401367]","[395.66908836364746, 503.12259674072266, -380.5318832397461]","[437.8402805328369, 562.1096038818359, 9.958932399749756]","[335.7447838783264, 538.2123565673828, -125.50164222717285]","[474.7202682495117, 619.9735641479492, -198.57749938964844]","[280.1178503036499, 573.798942565918, -394.6168518066406]","[513.8777303695679, 587.9188919067383, -712.860107421875]","[293.57696056365967, 537.1397018432617, -865.0343322753906]","[532.2099208831787, 576.9760131835938, -804.2979431152344]","[296.3020420074463, 522.2471237182617, -969.6479797363281]","[525.7300472259521, 567.3796463012695, -832.9194641113281]","[307.15344429016113, 518.7960815429688, -968.7476348876953]","[518.2614898681641, 570.3562164306641, -739.8030090332031]","[307.84339427948, 525.3382110595703, -875.7666778564453]","[385.4100465774536, 724.8576354980469, 24.79217290878296]","[326.84678077697754, 712.9167175292969, -24.483723640441895]","[382.9575204849243, 839.2384338378906, -69.90564823150635]","[299.647421836853, 828.0741882324219, -20.978446006774902]","[365.0212240219116, 940.5500793457031, 377.7643585205078]","[288.63791942596436, 935.8540344238281, 357.32471466064453]","[351.86099767684937, 950.8293151855469, 407.0384979248047]","[293.90719413757324, 949.2914581298828, 376.2213134765625]","[371.5542697906494, 973.5614776611328, 143.21085929870605]","[272.6096177101135, 967.4299621582031, 81.240234375]",squat
7,"[405.3911304473877, 501.55895233154297, -499.0563201904297]","[410.7726287841797, 491.97059631347656, -452.07950592041016]","[413.6125087738037, 492.5702667236328, -452.1180725097656]","[416.6448211669922, 493.2960891723633, -452.0836639404297]","[401.4093589782715, 489.75696563720703, -459.55371856689453]","[397.28957176208496, 488.77445220947266, -459.6878433227539]","[392.9828453063965, 487.82615661621094, -459.62772369384766]","[416.1810779571533, 496.8937301635742, -191.29568099975586]","[383.10420513153076, 490.0870895385742, -223.54429244995117]","[408.38889598846436, 512.8023529052734, -402.8239059448242]","[395.3400135040283, 510.1304626464844, -412.2772979736328]","[437.8747844696045, 568.4241485595703, -9.819488525390625]","[335.3156089782715, 545.671501159668, -137.7496337890625]","[474.67211723327637, 630.1857376098633, -220.12170791625977]","[279.1683053970337, 578.8950729370117, -393.48201751708984]","[513.8457584381104, 594.8695755004883, -750.7881927490234]","[293.20876836776733, 545.0923538208008, -875.0031280517578]","[532.0396757125854, 583.7580490112305, -843.9099884033203]","[296.13003730773926, 530.1100921630859, -979.5990753173828]","[525.6121158599854, 573.9509201049805, -874.1228485107422]","[306.86301469802856, 526.5213775634766, -983.629150390625]","[518.2059144973755, 576.5738677978516, -778.3284759521484]","[307.6489019393921, 532.0463943481445, -887.5724029541016]","[384.0739631652832, 727.5869750976562, 25.057504177093506]","[325.72540283203125, 715.1955413818359, -24.706037044525146]","[384.2489719390869, 839.8976898193359, -116.27033233642578]","[299.0360713005066, 828.3921051025391, -61.09528064727783]","[364.80759143829346, 941.5493774414062, 304.3600845336914]","[286.5372347831726, 937.5332641601562, 299.54986572265625]","[351.3698959350586, 951.5534973144531, 330.86631774902344]","[292.49019384384155, 950.7717132568359, 316.27838134765625]","[371.6249942779541, 974.7890472412109, 61.86612129211426]","[272.62341499328613, 968.330078125, 19.9234139919281]",squat
8,"[405.0748014450073, 506.6695022583008, -527.2844696044922]","[410.24030685424805, 497.2919464111328, -479.66243743896484]","[413.1364059448242, 497.86266326904297, -479.6980285644531]","[416.2180709838867, 498.58814239501953, -479.65572357177734]","[400.8877229690552, 495.3412628173828, -490.3499984741211]","[396.75291538238525, 494.5689392089844, -490.49949645996094]","[392.4519395828247, 493.7833023071289, -490.45501708984375]","[415.8955192565918, 502.1342468261719, -214.6549415588379]","[382.4992275238037, 496.1682891845703, -261.64344787597656]","[408.2379198074341, 518.365364074707, -429.10789489746094]","[395.28400897979736, 515.8064651489258, -442.8218078613281]","[437.9030656814575, 573.2720947265625, -19.9679696559906]","[334.70412969589233, 553.2438278198242, -180.67455291748047]","[476.2553071975708, 635.6649780273438, -219.87659454345703]","[277.80349016189575, 583.037109375, -441.3011169433594]","[513.9456224441528, 599.5698928833008, -740.7062530517578]","[292.9250764846802, 549.0827560424805, -912.7644348144531]","[531.4870119094849, 588.4150314331055, -831.9171905517578]","[296.0224914550781, 535.3499603271484, -1016.7108154296875]","[525.047779083252, 578.6199951171875, -860.4741668701172]","[306.63114309310913, 531.9195556640625, -1017.9934692382812]","[518.1097841262817, 580.2352142333984, -767.7498626708984]","[307.4114942550659, 536.8505859375, -923.7639617919922]","[383.5078239440918, 730.9076690673828, 35.75953483581543]","[324.82216358184814, 719.5284271240234, -35.34868001937866]","[385.4065704345703, 843.2829284667969, -101.20925903320312]","[298.9910960197449, 830.0112915039062, -110.7581901550293]","[364.2278480529785, 943.8743591308594, 318.8803482055664]","[285.0848937034607, 939.0222930908203, 249.9460220336914]","[350.6952452659607, 953.3237457275391, 345.7737731933594]","[290.9710121154785, 951.9932556152344, 267.3620414733887]","[372.74611473083496, 976.3236999511719, 84.76361274719238]","[272.6188659667969, 969.3482208251953, -23.759074211120605]",squat
9,"[404.10401344299316, 513.0507278442383, -535.1116943359375]","[409.1612434387207, 503.62937927246094, -488.34949493408203]","[412.1778917312622, 504.09507751464844, -488.3829116821289]","[415.43559551239014, 504.7883605957031, -488.3356475830078]","[399.4164562225342, 501.92630767822266, -496.96144104003906]","[395.18006801605225, 501.2691879272461, -497.1077346801758]","[391.0101556777954, 500.64857482910156, -497.0451354980469]","[415.6725311279297, 508.7122344970703, -226.7098617553711]","[381.5013599395752, 503.0746841430664, -264.9442481994629]","[407.7239227294922, 525.5872344970703, -438.36170196533203]","[394.7427177429199, 522.9103851318359, -449.5085906982422]","[438.10386657714844, 579.4431304931641, -37.736454010009766]","[334.20180559158325, 559.382209777832, -177.38630294799805]","[477.0993661880493, 640.3807067871094, -247.42765426635742]","[276.8085837364197, 588.9082717895508, -438.14239501953125]","[514.1158246994019, 604.3386077880859, -766.8502807617188]","[292.8123378753662, 552.819938659668, -910.9590911865234]","[531.0794878005981, 594.5839309692383, -855.8482360839844]","[296.0132646560669, 539.45068359375, -1013.0425262451172]","[524.6782350540161, 585.0983428955078, -882.8731536865234]","[306.44665002822876, 536.4963531494141, -1014.7013854980469]","[517.984299659729, 586.2032318115234, -792.640380859375]","[307.21444845199585, 541.5705108642578, -922.3506164550781]","[382.89546489715576, 735.8512115478516, 34.675631523132324]","[323.9985966682434, 723.8605499267578, -34.262564182281494]","[386.10660552978516, 846.3907623291016, -135.41790008544922]","[299.0149784088135, 831.3844299316406, -146.0470199584961]","[364.23115253448486, 944.7096252441406, 277.4026679992676]","[285.23404598236084, 939.5639038085938, 203.60868453979492]","[350.7374954223633, 953.9927673339844, 303.78570556640625]","[290.9395980834961, 952.3262023925781, 220.2137565612793]","[373.07231426239014, 976.8784332275391, 40.754218101501465]","[272.6146602630615, 969.4403839111328, -71.00827217102051]",squat
